author,nid,affiliation,google_scholar_ID
Ruben G Rumbaut,64947,"University of California, Irvine","""laF6r2QAAAAJ"""
Ruth Milkman,22218,"The Graduate Center, City University of New York","""2Tx_3bsAAAAJ"""
Samuel Lucas,51223,UC - Berkeley,Missing
Sandra Smith,57080,Harvard University,Missing
Sanyu Mojola,42781,Princeton University,Missing
Sarah Mustillo,40532,University of Notre Dame,"""1yASlSQAAAAJ"""
Sarah Soule,43088,Stanford University,"""u_jPc_wAAAAJ"""
Saskia Sassen,73271,Columbia University,Missing
Scott Feld,97158,Purdue University,"""Qh24zNEAAAAJ"""
Scott Long,87655,Indiana University,Missing
Scott South,25648,State University of New York at Albany,"""CG6mhl4AAAAJ"""
Seymour Spilerman,99244,Columbia University,"""nPVJTbIAAAAJ"""
Shamus Khan,27581,Princeton University,"""lRnp80sAAAAJ"""
Sharon Zukin,80879,Brooklyn College/CUNY Graduate Center,Missing
Shelley Correll,58604,Stanford University,"""SVYwyNMAAAAJ"""
Stanley Presser,68876,University of Maryland,Missing
Stefan Timmermans,60678,University of California-Los angeles,"""YZ-5C8EAAAAJ"""
Stefanie Deluca,80789,Johns Hopkins University,"""xD0EgOYAAAAJ"""
Stephen L Morgan,47798,Johns Hopkins University,"""kG3qL8kAAAAJ"""
Stephen Vaisey,96771,Duke University,"""cr6RG1QAAAAJ"""
Steven Brint,43639,UC Riverside,"""7ItivIMAAAAJ"""
Steven Epstein,96987,Northwestern University,"""oMr1uVYAAAAJ"""
Steven Pfaff,74798,University of Washington,"""UO-PSZkAAAAJ"""
Steven Raudenbush,94029,University of Chicago,Missing
Stewart Tolnay,18527,University of Washington,Missing
Susan Olzak,33965,Stanford University,Missing
Susan Short,57273,Brown University,Missing
Suzanne Staggenborg,54547,University of Pittsburgh,Missing
Ted Gerber,13881,University of Wisconsin,"""N3paNFoAAAAJ"""
Teresa A Sullivan,27781,University of Virginia,"""D5qO91QAAAAJ"""
Terry N Clark,44815,University of Chicago,Missing
Theda Skocpol,79564,Harvard University,Missing
Thomas D Cook,95101,Northwestern University,"""TCpyDZMAAAAJ"""
Thomas F Gieryn,34546,Indiana University,Missing
Tim Liao,98625,University of Illinois at Urbana,"""ZScMGFwAAAAJ"""
Toby L Parcel,16850,North Carolina State University,"""OfLZppsAAAAJ"""
Toby Stuart,59640,UC-Berkeley/Haas School of Business,"""MkMPdhoAAAAJ"""
Tom Smith,32793,NORC at University of Chicago,Missing
Tomas Diprete,69951,Columbia University,Missing
TomáS JiméNez,25535,Stanford University,"""0JdDY6YAAAAJ"""
Trond Petersen,27094,"University of California, Berkeley",Missing
Verta Taylor,85410,"University of California, Santa Barbara","""W0v0tAYAAAAJ"""
Victor Nee,26165,Cornell University,"""7oB1wEgAAAAJ"""
Victor Rios,51444,University of California - Santa Barbara,Missing
Vincent Roscigno,66751,Ohio State University,"""JQ7zUUcAAAAJ"""
Viviana A Zelizer,78710,Princeton University,"""hSTKVUYAAAAJ"""
W Richard Scott,44381,Stanford University,Missing
Walter Gove,88338,Vanderbilt University,"""VTAz-U0AAAAJ"""
Walter R Allen,53723,University of California - Los Angeles,"""-dxKG7sAAAAJ"""
Walter W Powell,63641,Stanford University,"""T7Q62kgAAAAJ"""
Waverly Duck,84674,UC Santa Barbara,Missing
Wendy Espeland,17481,Northwestern University,"""kkgKAWQAAAAJ"""
Wendy Griswold,42601,Northwestern University,"""I7phCZ0AAAAJ"""
Wendy Manning,51913,Bowling Green University,"""n7EP8qUAAAAJ"""
William Axinn,50927,University of Michigan,"""GfrEzsoAAAAJ"""
William Bridges,22333,University of Illinois at Chicago,Missing
William Brustein,50751,West Virginia University,Missing
William Corsaro,33340,Indiana University,"""xTsX8CAAAAAJ"""
William Julius Wilson,32220,Harvard University,"""Ity_nk4AAAAJ"""
William Mason,85221,UCLA,Missing
William Michelson,47747,University of Toronto,Missing
William R Brubaker,97283,"University of California, Los Angeles","""whihIW8AAAAJ"""
William T Bielby,36032,University of Illinois at Chicago,"""DqRy-3wAAAAJ"""
Xiaogang Wu,46966,NYU Shanghai,"""X94H31EAAAAJ"""
Xueguang Zhou,13051,Stanford University,"""zUfZV2IAAAAJ"""
Y Claire Yang,79076,University of North Carolina - Chapel Hill,"""ftiJp4kAAAAJ"""
Yanjie Bian,77487,U Minnesota,"""ARs_fswAAAAJ"""
Yossi Shavit,61017,Tel Aviv University,"""brfWXKMAAAAJ"""
Yu Xie,71604,Princeton University,"""yF9AT-4AAAAJ"""
Zhenchao Qian,40353,Brown University,"""8P_yMLMAAAAJ"""
