author,nid,affiliation,google_scholar_ID
David Stark,45836,Columbia University,"""qW7GQOgAAAAJ"""
David Strang,72936,Cornell University,"""7H7SrX4AAAAJ"""
David Takeuchi,84651,University of Washington,Missing
David Williams,77920,"School of Public Health, Harvard University","""v20qWckAAAAJ"""
Dawn Robinson,95427,University of Georgia,"""LZUzYjYAAAAJ"""
Deborah Carr,50592,Boston University,"""ABRogW4AAAAJ"""
Debra Umberson,65595,University of Texas,"""BAwtdQIAAAAJ"""
Denise Bielby,91290,"University of California, Santa Barbara","""sC8_TscAAAAJ"""
Denise Kandel,82495,Columbia University,"""pU6PpTAAAAAJ"""
Dennis Hogan,18111,Brown University,Missing
Diane Felmlee,52561,Pennsylvania State University,"""-231VJMAAAAJ"""
Diane Vaughan,45517,Columbia University,Missing
Dina Okamoto,66473,Indiana University,"""eMTfJSEAAAAJ"""
Donald Mackenzie,63579,University of Edinburgh,Missing
Donald Tomaskovicdevey,53077,University of Massachusetts,"""6IIFqigAAAAJ"""
Donald Treiman,42173,UCLA,"""DYZUS1wAAAAJ"""
Donna Eder,85358,Indiana University,Missing
Douglas Anderton,29363,University of South Carolina,"""WBVslFAAAAAJ"""
Douglas Downey,11539,Ohio State University,Missing
Douglas Heckathorn,90524,Cornell University,"""K6_SR54AAAAJ"""
Douglas Massey,71458,Princeton University,"""T758DcgAAAAJ"""
Douglas Maynard,17709,University of Wisconsin - Madison,"""96zIZBEAAAAJ"""
Douglas Mcadam,51479,Stanford University,Missing
Duane F Alwin,23083,Penn State University,"""sjzh-AYAAAAJ"""
Dudley Poston Jr,52124,Texas A&M University,"""jAfhO2YAAAAJ"""
Duncan Watts,48287,University of Pennsylvania,"""LhOAiXMAAAAJ"""
Edgar Kiser,12682,University of Washington,Missing
Eduardo Bonillasilva,12348,Duke University,Missing
Edward Lawler,63873,Cornell University,"""mz0GP2YAAAAJ"""
Edward Telles,29589,"University of California, Santa Barbara","""oVG66QoAAAAJ"""
Edwin Amenta,55853,UC Irvine,"""5mWhKFQAAAAJ"""
Elihu Katz,37691,U Pennsylvania,"""PWEmMG8AAAAJ"""
Elijah Anderson,86422,Yale University,"""LvzfDaAAAAAJ"""
Elisabeth Clemens,86396,University of Chicago,Missing
Eliza Pavalko,12379,Indiana University,Missing
Elizabeth Armstrong,96844,University of Michigan,"""WlX0q2MAAAAJ"""
Elizabeth Frankenberg,99986,"University of North Carolina, Chapel Hill","""K9cUPCAAAAAJ"""
Elizabeth Heger Boyle,16197,University of Minnesota,"""fZrd9yIAAAAJ"""
Elizabeth Menaghan,36876,Ohio State University,Missing
Ellen Idler,12730,Emory University,"""qu2uORsAAAAJ"""
Emanuel Schegloff,40218,UCLA,"""I0RXKHYAAAAJ"""
Emilio Parrado,31135,University of Pennsylvania,"""1b5yOdAAAAAJ"""
Emily Hannum,80120,University of Pennsylvania,"""kb-nhPoAAAAJ"""
Eric Grodsky,47874,University of Wisconsin-Madison,"""WT0vZX4AAAAJ"""
Eric Klinenberg,45393,New York University,Missing
Erin Kelly,94784,MIT,"""iQcRq_kAAAAJ"""
Erin Leahey,65624,University of Arizona,"""hNGv5GEAAAAJ"""
Evan Schofer,77527,UC Irvine,"""wLH8h6IAAAAJ"""
Evelyn Nakano Glenn,53356,"University of California, Berkeley",Missing
Eviatar Zerubavel,26993,Rutgers University,Missing
Ezra Zuckerman,63231,MIT - Sloan,"""4FgpnjYAAAAJ"""
Felix Elwert,77397,University of Wisconsin-Madison,"""mGnHuYgAAAAJ"""
Feng Wang,98211,UC-Irvine,Missing
Filiz Garip,62441,Princeton University,"""e3IQeS_3N8MC"""
Florencia Torche,81622,Stanford University,"""jeabV8gAAAAJ"""
Forrest Stuart,66808,Stanford University,"""xd3iADUAAAAJ"""
Francesca Polletta,18223,UC-Irvine,"""oWBjkPYAAAAJ"""
Frank D Bean,30819,University of California - Irvine,"""MDw8DcQAAAAJ"""
Frank Furstenberg Jr,95540,U Pennsylvania,"""NsrcAOgAAAAJ"""
Frank R Dobbin,79632,Harvard University,"""g-QtYbIAAAAJ"""
Fred Block,11286,UC Davis,Missing
Frederick Wherry,10771,Princeton University,"""9zjFQQgAAAAJ"""
Gary Alan Fine,84548,Northwestern University,"""EEbv8s0AAAAJ"""
Gary D Sandefur,73376,Oklahoma State University,"""PjXs3voAAAAJ"""
Gary G Hamilton,88960,U Washington,"""4vvOghQAAAAJ"""
Gary Marx,19618,MIT (retired),"""zZ6ol_IAAAAJ"""
George Farkas,59551,"University of California, Irvine","""VQZC3yAAAAAJ"""
George Steinmetz,92816,University of Michigan,"""8Gvq60wAAAAJ"""
George W Bohrnstedt,92201,American Institutes for Research,"""YMOoiAMAAAAJ"""
Gil Eyal,41726,Columbia University,"""yf7DjpEAAAAJ"""
Glen H Elder Jr,82800,University of North Carolina - Chapel Hill,"""9dQbilMAAAAJ"""
Glenn Firebaugh,54429,Penn State University,"""VdvopeIAAAAJ"""
Glenn R Carroll,89807,Stanford University,"""avh8BOUAAAAJ"""
Guang Guo,61611,University of North Carolina - Chapel Hill,Missing
Guillermina Jasso,26136,New York University,"""7B6Tw1AAAAAJ"""
Hal Winsborough,29346,University of Wisconsin-Madison,Missing
Hannah Brueckner,59577,NYU Abu Dhabi,"""PRpHLY4AAAAJ"""
Hanspeter Kohler,92218,University of Pennsylvania,"""LxGeqB0AAAAJ"""
Harriet Zuckerman,58011,Columbia; Mellon Foundation,"""woIB9bIAAAAJ"""
Harrison C White,55336,Columbia University,Missing
Harvey Molotch,63964,New York University,Missing
Hayagreeva Rao,82583,Stanford University - GSB,"""jELAgFcAAAAJ"""
Heather A Haveman,16021,"University of California, Berkeley","""DmZVKkgAAAAJ"""
Hedwig Lee,37156,Washington University at St. Louis,Missing
Henry A Walker,47452,University of Arizona,Missing
Herbert Gans,51198,Columbia University,"""b0XNDVkAAAAJ"""
Herbert Smith,14122,University of Pennsylvania,Missing
Holly Mccammon,92327,Vanderbilt University,Missing
Howard Aldrich,71444,University of North Carolina - Chapel Hill,"""Z9VD6-AAAAAJ"""
Howard Taylor,74324,Princeton University,Missing
HéCtor Carrillo,87723,Northwestern University,"""AbRu7w4AAAAJ"""
Iddo Tavory,96597,New York University,"""-WvaAbQAAAAJ"""
Ivan Szelenyi,26233,Yale University,"""xdKE3-AAAAAJ"""
Jack A Goldstone,99854,George Mason University,"""Yv4hXyEAAAAJ"""
Jackson Toby,14703,Rutgers University,Missing
Jacqueline Hagan,19668,University of North Carolina Chapel Hill,"""TNOegUYAAAAJ"""
James Mahoney,59501,Northwestern University,"""mKoUY5IAAAAJ"""
James Moody,99554,Duke University,"""sF0O-pIAAAAJ"""
James N Baron,83465,Yale University,"""sNqks4AAAAAJ"""
James R Lincoln,25985,UC - Berkeley,Missing
James Raymo,70798,Princeton University,"""5ibGwv0AAAAJ"""
James Rosenbaum,26000,"Institute for Policy Research, Northwestern University",Missing
James S House,98317,U Michigan,"""1hgXY54AAAAJ"""
Jan Stets,19036,"University of California, Riverside","""jqy3BjoAAAAJ"""
Jane Mcleod,88893,Indiana University,Missing
Jane Menken,29626,U Colorado,"""qIZM8ScAAAAJ"""
Japonica Brownsaracino,76609,Boston University,"""sm1y8HwAAAAJ"""
Jason Beckfield,33712,Harvard University,"""pBZDTT0AAAAJ"""
Jason Boardman,44233,University of Colorado,"""QOZAiO0AAAAJ"""
Jason Owensmith,71986,University of Michigan,"""QopoQ1MAAAAJ"""
Jeff Manza,62086,New York University,"""K2hMn3AAAAAJ"""
Jeffrey C Alexander,32149,Yale University,"""PxY1nWoAAAAJ"""
Jeffrey J Sallaz,90835,University of Arizona,"""XyvgQDcAAAAJ"""
Jeffrey Olick,38337,University of Virginia,"""aB2HumsAAAAJ"""
Jeffrey Paige,33579,U Michigan,Missing
Jennan Read,42444,Duke University,"""rrELG5IAAAAJ"""
Jennie Brand,18560,"University of Calfironia, Los Angeles","""7MFnZaoAAAAJ"""
Jennifer Barber,20940,Indiana University,"""8WsVvJ0AAAAJ"""
Jennifer Earl,49098,University of Delaware,"""y0KQ8IsAAAAJ"""
Jennifer Glass,18840,University of Texas - Austin,"""iY8AgVEAAAAJ"""
Jennifer Glick,62619,Penn State University,"""JBSqbO4AAAAJ"""
Jennifer Jennings,23172,Princeton University,Missing
Jennifer Lee,67344,Columbia University,Missing
Jennifer Van Hook,70835,Pennsylvania State University,"""Fk9a3NEAAAAJ"""
Jerald T Hage,92318,U Maryland,"""0grCWBIAAAAJ"""
Jeremy Freese,17215,Stanford University,"""-SPDJL0AAAAJ"""
Jerry Jacobs,58207,University of Pennsylvania,"""RXusdvQAAAAJ"""
Jesper SøRensen,39345,Stanford University GSB,"""aCkLjUoAAAAJ"""
Jeylan T Mortimer,39812,University of Minnesota,"""9zILK3UAAAAJ"""
Jill Quadagno,91660,Florida State University,Missing
Jill Suitor,59523,Purdue University,"""-tFHDcYAAAAJ"""
Joane Nagel,63044,University of Kansas,"""vhfN4WcAAAAJ"""
Joel Podolny,56482,"Honor Education, Et Al ","""NyC-HwYAAAAJ"""
John D Mccarthy,17628,Penn State University,"""NEWkJxoAAAAJ"""
John Evans,28862,"University of CA , San Diego",Missing
John Hagan,33251,Northwestern University,"""rA8z4gUAAAAJ"""
John Heritage,98955,UCLA,"""hjsl6bcAAAAJ"""
John Iceland,42986,Penn State University,"""KIyJA9gAAAAJ"""
John Logan,78271,Brown University,"""lZ8iOiwAAAAJ"""
John Markoff,16220,University of Pittsburgh,Missing
John Mirowsky,93290,University of Texas - Austin,"""zFVAAG4AAAAJ"""
John Mollenkopf,10503,"The Graduate Center, City University of New York","""qRWiv2kAAAAJ"""
John R Hall,31763,University of California - Davis,"""GiftoEAAAAAJ"""
John S Butler,37804,University of Texas,Missing
John Skvoretz,74557,University of South Florida,"""4HxSGX4AAAAJ"""
John Sutton,67823,UC Santa Barbara,"""3KPJLFMAAAAJ"""
John W Meyer,39369,Stanford University,"""UnN10MEAAAAJ"""
John Warren,43632,University of Minnesota,"""TeriGPgAAAAJ"""
Jonathan R Cole,16169,Columbia University,"""gFNH3M0AAAAJ"""
Jonathan Turner,99575,"University of California, Riverside",Missing
Joseph Berger,17970,Stanford University,Missing
Joseph Galaskiewicz,14298,University of Arizona,"""KqIUsN0AAAAJ"""
Judith Seltzer,94676,UCLA,Missing
Judith Treas,44585,"University of California, Irvine",Missing
Julia Adams,96697,Yale University,"""a_NjEmEAAAAJ"""
Julian Go,49722,University of Chicago,Missing
Karen Barkey,29648,Bard College,"""vbSdKQUAAAAJ"""
Karen Cerulo,35149,Rutgers University,Missing
Karen S Cook,11936,Stanford University,"""0LkVRfUAAAAJ"""
Karin Knorrcetina,94500,University of Chicago,"""mEWtmpcAAAAJ"""
Karl Mayer,46083,Yale University,"""iuzu9xwAAAAJ"""
Katharine Donato,95360,Georgetown University,"""0q5zr6QAAAAJ"""
Katherine Beckett,70537,University of Washington,Missing
Katherine Newman,81156,"University of Massachusetts, Boston ","""G6AU93AAAAAJ"""
Kathleen Blee,35121,University of Pittsburgh,"""4TJz_7oAAAAJ"""
Kathleen Gerson,87030,New York University,"""zuKRXEIAAAAJ"""
Kathleen Mullan Harris,55151,University of North Carolina - Chapel Hill,"""SRV3VCUAAAAJ"""
Kathryn Edin,77838,Princeton University,"""gVxDMkQAAAAJ"""
Kazuo Yamaguchi,54508,University of Chicago,Missing
Keith Hampton,69552,Michigan State University,"""E9S9eFMAAAAJ"""
Kenneth Bollen,86667,University of North Carolina - Chapel Hill,"""eY3VhFcAAAAJ"""
Kenneth Ferraro,38730,Purdue University,"""X9pyLOMAAAAJ"""
Kenneth Land,62890,Duke University,"""MpgBHk8AAAAJ"""
Kevin Leicht,61019,University of Illinois at Urbana,Missing
Kim Voss,81524,"University of California, Berkeley","""344xoL0AAAAJ"""
Kim Weeden,57390,Cornell University,"""faevrwEAAAAJ"""
Kristin Luker,24367,UC - Berkeley,Missing
Kyle Crowder,48481,University of Washington,"""3vh0XakAAAAJ"""
Lane Kenworthy,13836,"University of California, San Diego","""T693Yu0AAAAJ"""
Larry Griffin,26453,Georgia Southern University,Missing
Larry Isaac,23237,Vanderbilt University,"""G3kVPlMAAAAJ"""
Laura Hamilton,76795,University of California - Merced,Missing
Lauren Edelman,22769,UC Berkeley,Missing
Lauren Rivera,10457,Northwestern University,"""tbzjN7QAAAAJ"""
Lawrence D Bobo,60481,Harvard University,"""JE85Ie8AAAAJ"""
Lawrence L Wu,99954,New York University,"""ye7uvWEAAAAJ"""
Lenore J Weitzman,28635,retired (George Mason University),Missing
Leslie Mccall,54128,CUNY Graduate Center,Missing
Lincoln Quillian,53348,Northwestern University,"""z6JOvkAAAAAJ"""
Linda Aiken,80797,"Center for Health Outcomes and Policy Research, University of Pennsylvania","""vrY4DaQAAAAJ"""
Linda Burton,58520,"University of California, Berkeley",Missing
Linda D Molm,92764,University of Arizona,Missing
Linda Waite,32170,University of Chicago,"""cilijYgAAAAJ"""
Lingxin Hao,41746,John Hopkins University,"""A-4qMSgAAAAJ"""
Lisa Keister,72235,Duke University,"""zu0mz_cAAAAJ"""
Lowell L Hargens,65058,University of Washington,Missing
Lynn Smith Lovin,33142,Duke University,"""aI_za38AAAAJ"""
Mabel Berezin,85240,Cornell University,"""8DiIJlsAAAAJ"""
Margaret R Somers,50626,University of Michigan,"""mFDpDW4AAAAJ"""
Maria Charles,51651,"Univ. of California, Santa Barbara","""bC4Fn64AAAAJ"""
Mario Luis Small,43685,Columbia University,Missing
Marion Fourcade,97189,UC Berkeley,"""gNIBuscAAAAJ"""
Mark Chaves,28177,Duke University,Missing
Mark Granovetter,92959,Stanford,"""OlKVqZ8AAAAJ"""
Mark Mizruchi,11375,University of Michigan,"""hJhIOPgAAAAJ"""
Mark Suchman,50670,Brown University,"""Nk0_ayEAAAAJ"""
Marta Tienda,29923,Princeton University,Missing
Martin K Whyte,67542,Harvard University,Missing
Martin Ruef,97646,Duke University,"""a8icTvUAAAAJ"""
Martin Sanchez Jankowski,50341,University of California - Berkeley,Missing
Martina Morris,84621,U Washington,"""W1mQuqwAAAAJ"""
Mary Brinton,82946,Harvard University,"""mo4pUgIAAAAJ"""
Mary Fennell,16071,Brown University,Missing
Mary Jackman,39395,University of California - Davis,Missing
Mary Pattillo,14370,Northwestern University,"""sxVkryMAAAAJ"""
Mary Waters,87898,Harvard University,"""RZ8-H4cAAAAJ"""
Matt Desmond,67243,Princeton University,"""FqLYrAEAAAAJ"""
Matthew Salganik,27358,Princeton University,"""D5Ty-jAAAAAJ"""
Mauro F Guillen,81723,"The Wharton School, U. of Pennsylvania","""c83WqcUAAAAJ"""
Megan Sweeney,11856,"University of California, Los Angeles","""_Gb2ld4AAAAJ"""
Melvin Oliver,25750,"University of California, Santa Barbara",Missing
Melvin Seeman,84890,retired (UCLA),Missing
Merril Silverstein,39747,Syracuse University,"""1puqFQsAAAAJ"""
Michael Hechter,59352,Arizona State University,"""HJaiNPAAAAAJ"""
Michael Hout,21228,New York University,"""Pvb6rzEAAAAJ"""
Michael Macy,38400,Cornell University,"""7OW6weoAAAAJ"""
Michael Mann,44454,"University of California, Los Angeles",Missing
Michael Sauder,75627,University of Iowa,"""NZTJhw8AAAAJ"""
Michael Schwartz,48331,"retired (State University of New York, Stony Brook)",Missing
Michael Shanahan,90283,University of Zurich,Missing
Michael Sobel,92214,Columbia University,"""cuKCFmcAAAAJ"""
Michael Useem,35240,University of Pennsylvania,Missing
Michael White,94302,Brown University,"""i1aM_o0AAAAJ"""
Michele Lamont,33422,Harvard University,"""ZlpExMwAAAAJ"""
Mignon Moore,31719,Barnard,"""aq5C3iQAAAAJ"""
Miguel Centeno,53031,Princeton University,"""xM-GzFwAAAAJ"""
Mikk Titma,82265,Stanford University,Missing
Mildred A Schwartz,80410,New York University,"""szCKmosAAAAJ"""
Miller Mcpherson,59830,Duke University,"""b1AmNqMAAAAJ"""
Min Zhou,91394,"University of California, Los Angeles","""dNtf1h4AAAAJ"""
Mitchell Duneier,44895,Princeton University,Missing
Monica Boyd,75145,University of Toronto,Missing
Monica Prasad,34585,Northwestern University,Missing
Moshe Semyonov,17022,Tel Aviv University,"""9XO5KrgAAAAJ"""
Murray Webster,88816,University of North Carolina at Charlotte,Missing
Myra Ferree,36916,University of Wisconsin - Madison,"""ysL1yLsAAAAJ"""
Nan Lin,36056,Duke University,"""HpqAmUcAAAAJ"""
Nancy B Tuma,79756,Stanford University,Missing
Nancy Foner,21697,"Hunter College and Graduage Center, CUNY","""wjj86y8AAAAJ"""
Nancy J Chodorow,23355,UC Berkeley,Missing
Nancy Landale,41568,Penn State University,"""qlrsXOsAAAAJ"""
Naomi Gerstel,11681,University of Massachusetts,Missing
Neil Fligstein,56162,UC Berkeley,"""TDFHGecAAAAJ"""
Nicholas Christakis,54634,Yale University,"""sR_OzkgAAAAJ"""
Nikki Jones,47850,UC Berkeley,Missing
Nina Bandelj,46374,UC Irvine,"""VdD5V2MAAAAJ"""
Noah Friedkin,65284,"University of California, Santa Barbara","""uPCKsFEAAAAJ"""
Omar Lizardo,33179,"University of California, Los Angeles","""Lt5nMNkAAAAJ"""
Orlando Patterson,55946,Harvard University,"""99s4xjYAAAAJ"""
Oscar Grusky,25466,University of California - Los Angeles,Missing
Pamela B Walters,53826,Indiana University,Missing
Pamela Oliver,67261,University of Wisconsin,"""YPeToqMAAAAJ"""
Pamela Paxton,72011,The University of Texas at Austin,"""QR62hLgAAAAJ"""
Pamela Smock,99747,University of Michigan,"""gQNhISoAAAAJ"""
Patricia Fernandezkelly,76090,Princeton University,"""ZlC9upIAAAAJ"""
Patricia Hill Collins,64794,University of Maryland,Missing
Patricia Yancey Martin,94892,Florida State University,"""WGhFnZIAAAAJ"""
Patrick Sharkey,59953,Princeton University,"""J_Df5rsAAAAJ"""
Paul Allison,65802,University of Pennsylvania,"""RFRPlFoAAAAJ"""
Paul Amato,20719,Penn State University,"""cJx9Xe8AAAAJ"""
Paul Attewell,68522,"The Graduate Center, City University of New York",Missing
